Tempo_Decorrido_S,System_Total_CPU_Percent,System_Used_Memory_GB
132.18,2.0,5.87
132.68,2.5,5.87
133.18,29.2,4.67
133.68,5.0,4.5
134.18,18.0,4.59
134.68,31.7,4.83
135.18,3.5,4.81
135.68,4.5,4.82
136.18,2.5,4.82
136.68,19.4,4.92
137.18,70.7,5.33
137.68,54.9,5.52
138.18,36.8,5.62
138.68,27.8,5.63
139.18,50.5,5.73
139.68,70.7,5.97
140.19,70.9,6.02
140.69,67.0,6.12
141.19,48.5,5.9
141.69,29.5,5.99
142.19,29.5,6.02
142.69,35.4,5.93
143.19,28.1,5.97
143.69,7.8,5.98
144.19,18.5,6.05
144.69,10.2,6.05
145.19,9.8,6.07
145.69,2.8,6.07
146.19,2.3,5.99
146.69,5.5,5.99
147.2,7.5,5.97
147.7,2.3,5.97
148.2,2.0,5.97
148.7,9.0,5.94
149.2,4.8,5.93
149.7,3.2,5.93
150.2,1.0,5.93
150.7,3.8,5.92
151.2,4.8,5.91
151.7,2.0,5.91
152.2,4.8,5.9
152.7,5.0,5.89
153.2,3.3,5.86
153.7,3.5,5.86
154.2,3.0,5.86
154.71,4.5,5.86
155.21,3.3,5.86
155.71,0.5,5.86
156.21,3.8,5.83
156.71,1.8,5.83
157.21,5.5,5.83
157.71,4.8,5.83
158.21,10.5,5.84
158.71,22.1,5.87
159.21,27.9,5.92
159.71,31.6,5.99
160.21,37.7,6.09
160.71,34.1,6.11
161.21,33.0,6.12
161.71,26.8,6.15
162.22,14.8,6.13
162.72,44.7,6.03
163.22,7.3,6.03
163.72,7.1,6.03
164.22,7.5,6.05
164.72,6.0,6.06
165.22,10.9,6.07
165.72,23.4,6.12
166.22,18.9,6.13
166.72,9.8,6.12
167.22,14.4,6.04
167.72,16.2,6.09
168.22,8.2,6.09
168.72,3.3,6.08
169.23,9.0,6.04
169.73,8.3,6.04
170.23,9.8,6.03
170.73,2.5,6.03
171.23,1.8,6.03
171.73,3.3,5.98
172.23,11.3,5.98
172.73,0.7,5.97
173.23,4.8,5.95
173.73,6.8,5.95
174.23,2.5,5.95
174.73,6.5,5.95
175.23,3.2,5.95
175.74,32.6,5.95
176.24,5.8,5.78
176.74,2.3,5.76
177.24,2.5,5.76
177.74,1.0,5.74
178.24,0.7,5.74
178.74,2.3,5.74
179.24,4.5,5.75
179.74,5.5,5.74
180.24,4.3,5.74
180.74,4.5,5.74
181.24,24.7,5.8
181.74,7.0,5.81
182.25,0.8,5.81
182.75,0.0,5.81
183.25,5.3,5.79
183.75,6.8,5.79
184.25,6.0,5.79
184.75,6.8,5.8
185.25,1.7,5.8
185.75,2.3,5.79
186.25,1.5,5.78
186.75,38.7,5.81
187.25,11.6,5.81
187.75,5.0,5.81
188.25,2.5,5.81
188.75,4.0,5.78
189.26,5.8,5.78
189.76,15.8,5.8
190.26,2.8,5.79
190.76,2.7,5.79
191.26,2.8,5.78
191.76,2.0,5.78
192.26,7.5,5.78
192.76,8.3,5.79
193.26,6.3,5.79
193.76,8.0,5.8
194.26,7.3,5.79
194.76,4.7,5.79
195.26,7.0,5.79
195.77,3.5,5.79
196.27,6.3,5.79
196.77,8.3,5.78
197.27,12.2,5.78
197.77,35.5,5.81
198.27,19.1,5.85
198.77,6.3,5.85
199.27,4.0,5.84
199.77,4.5,5.83
200.27,11.6,5.83
200.77,12.3,5.85
201.27,13.5,5.85
201.77,8.5,5.85
202.27,8.0,5.85
202.77,6.5,5.85
203.27,5.8,5.85
203.78,13.6,5.85
204.28,11.8,5.85
204.78,5.5,5.85
205.28,5.2,5.84
205.78,10.8,5.86
206.28,16.0,5.86
206.78,9.5,5.85
207.28,4.2,5.83
207.78,6.5,5.82
208.28,13.5,5.85
208.78,3.7,5.84
209.28,5.3,5.84
209.78,5.0,5.84
210.28,6.0,5.84
210.79,5.2,5.84
211.29,2.5,5.83
211.79,2.0,5.83
212.29,6.8,5.83
212.79,11.2,5.83
213.29,11.5,5.8
213.79,10.3,5.8
214.29,13.0,5.8
214.79,8.3,5.8
215.29,4.2,5.81
215.79,11.1,5.82
216.29,8.8,5.82
216.79,11.3,5.82
217.29,5.5,5.81
217.79,1.7,5.81
218.3,0.5,5.8
218.8,0.5,5.8
219.3,0.2,5.8
219.8,5.3,5.8
220.3,5.3,5.8
220.8,5.0,5.82
