Tempo_Decorrido_S,System_Total_CPU_Percent,System_Used_Memory_GB
574.79,6.2,5.96
575.29,10.3,5.96
575.79,3.8,5.96
576.29,0.3,5.96
576.79,0.7,5.96
577.29,0.2,5.96
577.8,14.0,5.95
578.3,26.6,5.95
578.8,4.5,5.96
579.3,5.3,5.95
579.8,5.0,5.95
580.3,6.6,5.96
580.8,8.2,5.96
581.3,10.8,5.95
581.8,13.6,5.95
582.3,3.5,5.95
582.8,0.3,5.95
583.31,0.5,5.95
583.81,0.5,5.95
584.31,0.3,5.95
584.81,4.2,5.95
585.31,0.7,5.95
585.81,0.5,5.95
586.31,6.0,5.96
586.81,4.3,5.96
587.31,1.0,5.96
587.81,5.3,5.96
588.31,8.5,5.96
588.81,1.8,5.96
589.32,11.5,5.96
589.82,3.8,5.96
590.32,0.5,5.96
590.82,3.3,5.96
591.32,6.5,5.96
591.82,11.0,5.98
592.32,12.1,5.98
592.82,3.5,5.98
593.32,3.5,5.97
593.82,5.8,5.97
594.32,9.3,5.97
594.82,5.0,5.97
595.32,7.0,5.97
595.82,3.0,5.97
596.32,4.0,5.97
596.83,9.8,5.97
597.33,11.8,5.98
597.83,3.8,5.98
598.33,12.0,6.0
598.83,5.5,6.0
599.33,2.7,5.99
599.83,5.2,6.0
600.33,3.3,5.99
600.83,1.5,5.99
601.33,4.0,5.99
601.83,14.0,6.01
602.33,11.7,6.01
602.83,4.0,6.01
603.34,11.0,6.01
603.84,10.1,6.01
604.34,5.3,6.01
604.84,4.5,6.01
605.34,14.8,6.01
605.84,6.0,6.01
606.34,3.0,6.01
606.84,7.6,6.01
607.34,7.5,6.01
607.84,4.3,6.01
608.34,3.0,6.0
608.84,3.5,6.0
609.34,11.5,6.0
609.85,1.8,6.0
610.35,3.8,5.99
610.85,6.5,5.99
611.35,3.3,5.99
611.85,2.8,5.99
612.35,3.0,5.99
612.85,9.0,6.01
613.35,13.8,6.01
613.85,27.5,6.0
614.35,8.0,6.0
614.85,9.8,6.0
615.35,5.3,5.99
615.85,13.3,6.0
616.35,7.3,6.0
616.85,16.0,6.05
617.35,11.6,6.1
617.86,2.2,6.1
618.36,22.3,5.93
618.86,10.3,5.93
619.36,3.5,5.93
619.86,9.3,5.94
620.36,3.8,5.94
620.86,1.5,5.93
621.36,0.5,5.93
621.86,0.8,5.92
622.36,2.7,5.92
622.86,1.5,5.92
623.36,6.5,5.93
623.86,14.1,5.93
624.36,10.8,5.93
624.87,1.3,5.93
625.37,9.3,5.92
625.87,1.5,5.92
626.37,12.0,5.92
626.87,4.5,5.92
627.37,0.5,5.92
627.87,1.3,5.93
628.37,6.2,5.93
628.87,8.0,5.93
629.37,2.3,5.93
629.87,6.5,5.93
630.37,1.3,5.92
630.88,7.3,5.92
631.38,4.8,5.92
631.88,3.3,5.92
632.38,4.5,5.92
632.88,9.0,5.92
633.38,0.5,5.92
633.88,3.8,5.92
634.38,10.5,5.92
634.88,8.8,5.92
635.38,4.0,5.92
635.88,4.5,5.92
636.38,10.6,5.93
636.88,0.2,5.93
637.39,0.5,5.93
637.89,0.0,5.93
638.39,6.3,5.94
638.89,5.0,5.94
639.39,10.1,5.94
639.89,10.4,5.95
640.39,4.3,5.94
640.89,0.0,5.94
641.39,1.7,5.94
641.89,1.0,5.94
642.39,2.3,5.94
642.89,1.2,5.94
643.4,7.5,5.95
643.9,7.0,5.94
644.4,9.0,5.94
644.9,3.5,5.94
645.4,3.7,5.94
645.9,3.0,5.94
646.4,5.8,5.94
646.9,3.0,5.94
647.4,16.7,5.94
647.9,14.4,5.94
648.4,2.8,5.94
648.9,5.5,5.94
649.41,1.5,5.93
649.91,2.0,5.93
650.41,6.3,5.93
650.91,1.5,5.93
651.41,3.3,5.93
651.91,0.2,5.92
652.41,12.0,5.92
652.91,3.8,5.93
653.41,7.0,5.93
653.91,4.3,5.93
654.41,7.3,5.93
654.91,5.0,5.93
655.41,4.8,5.93
655.92,1.3,5.93
656.42,9.5,5.94
656.92,7.5,5.94
657.42,3.0,5.94
657.92,13.5,5.9
658.42,9.8,5.89
658.92,0.0,5.89
659.42,10.7,5.93
659.92,11.7,5.92
660.42,39.7,6.03
660.92,5.2,6.01
661.42,13.5,6.01
661.92,5.0,6.0
662.42,4.0,6.0
662.93,1.8,6.0
663.43,13.5,6.0
663.93,5.8,5.99
664.43,12.7,5.98
664.93,11.8,5.97
665.43,8.8,5.97
665.93,10.5,5.97
666.43,10.8,5.97
666.93,5.6,5.96
667.43,4.3,5.96
667.93,7.5,5.96
668.43,9.5,5.96
668.93,13.9,5.95
669.43,12.3,5.95
669.93,2.5,5.95
670.44,9.5,5.94
670.94,0.5,5.94
671.44,8.0,5.94
671.94,2.5,5.93
672.44,0.5,5.93
672.94,8.3,5.96
673.44,1.0,5.96
673.94,5.5,5.96
674.44,1.5,5.95
674.94,1.0,5.95
675.44,0.0,5.95
675.94,0.2,5.95
676.44,1.7,5.95
676.95,8.0,5.95
677.45,5.3,5.95
677.95,6.8,5.95
678.45,7.0,5.94
678.95,4.8,5.94
679.45,8.3,5.92
679.95,4.8,5.92
680.45,6.0,5.92
680.95,8.4,5.92
681.45,4.0,5.92
681.95,4.8,5.92
682.45,10.8,5.92
682.95,1.7,5.92
683.46,1.3,5.93
683.96,5.5,5.92
684.46,3.5,5.92
684.96,8.3,5.92
685.46,3.0,5.92
685.96,2.0,5.92
686.46,1.0,5.92
686.96,10.2,5.92
687.46,7.6,5.92
687.96,11.0,5.92
688.46,8.2,5.93
688.96,7.0,5.93
689.46,7.8,5.93
689.96,4.5,5.93
690.47,11.1,5.93
690.97,2.0,5.92
691.47,0.3,5.92
691.97,0.5,5.92
692.47,0.7,5.91
692.97,0.2,5.91
693.47,3.2,5.92
693.97,6.8,5.92
694.47,8.6,5.93
694.97,12.8,5.92
695.47,4.3,5.91
695.97,4.5,5.91
696.48,4.3,5.91
696.98,6.3,5.88
697.48,7.3,5.88
697.98,30.2,5.88
698.48,9.8,5.88
698.98,7.7,5.88
699.48,3.5,5.88
699.98,9.5,5.87
700.48,8.0,5.89
700.98,10.9,5.89
701.48,7.3,5.88
701.98,8.2,5.89
702.48,7.8,5.89
702.98,41.5,6.05
703.48,12.1,6.02
703.99,4.5,6.02
704.49,5.8,6.02
704.99,13.8,6.02
705.49,13.2,6.02
705.99,2.8,6.01
706.49,0.2,6.01
706.99,3.3,6.01
707.49,6.0,6.01
707.99,5.0,6.01
708.49,4.0,6.01
708.99,5.5,6.01
709.49,8.8,6.01
709.99,6.3,6.03
710.49,7.1,6.03
710.99,8.8,6.02
711.5,9.8,6.03
712.0,10.1,6.0
712.5,6.8,6.0
713.0,4.8,6.0
713.5,12.5,6.0
714.0,4.0,6.0
714.5,5.8,5.99
715.0,1.5,5.99
715.5,0.0,5.99
716.0,1.3,6.0
716.5,11.1,6.0
717.0,12.5,5.99
717.5,4.3,5.99
718.01,9.3,5.98
718.51,0.7,5.98
719.01,2.0,5.98
719.51,0.5,5.98
720.01,2.7,5.97
720.51,10.1,5.98
721.01,3.3,5.98
721.51,11.5,5.98
722.01,5.8,5.98
722.51,9.2,5.96
723.01,12.8,5.96
723.51,7.0,5.96
724.01,8.3,5.97
724.51,4.5,5.97
725.02,28.2,5.96
725.52,6.3,5.96
726.02,11.0,5.95
726.52,14.7,5.96
727.02,5.3,5.96
727.52,11.7,5.96
728.02,8.5,5.96
728.52,10.7,5.96
729.02,12.5,5.96
729.52,14.4,5.96
730.02,12.5,5.97
730.52,10.1,5.97
731.02,6.0,5.97
731.52,5.2,5.97
732.02,8.0,5.96
732.52,7.8,5.96
733.03,14.1,5.96
733.53,5.8,5.96
734.03,3.0,5.96
734.53,7.6,5.96
735.03,4.0,5.95
735.53,13.3,5.95
736.03,11.8,5.96
736.53,6.3,5.96
737.03,3.3,5.96
737.53,2.5,5.96
738.03,7.3,5.96
738.53,7.3,5.97
739.03,4.3,5.97
739.53,3.0,5.97
740.04,6.5,5.97
740.54,5.8,5.97
741.04,8.0,5.96
741.54,6.6,5.97
742.04,2.8,5.97
742.54,8.1,5.96
743.04,8.5,5.98
743.54,28.6,5.97
744.04,12.0,5.97
744.54,12.7,5.97
745.04,4.0,5.97
745.54,11.8,5.97
746.04,11.6,5.97
746.54,9.3,5.97
747.04,8.0,5.97
747.55,11.6,5.97
748.05,9.0,5.97
748.55,4.8,5.97
749.05,4.0,5.97
749.55,3.3,5.97
750.05,1.0,5.96
750.55,0.5,5.96
751.05,2.2,5.97
751.55,1.7,5.97
752.05,0.3,5.97
752.55,17.8,5.98
753.05,11.7,5.98
753.55,5.7,5.98
754.05,6.0,5.96
754.56,14.3,5.97
755.06,14.4,5.96
755.56,14.0,5.97
756.06,14.3,5.97
756.56,13.5,5.97
757.06,14.4,5.97
757.56,14.2,5.97
758.06,32.0,5.97
758.56,14.5,5.97
759.06,15.9,5.97
759.56,12.2,5.97
760.06,3.3,5.97
760.56,5.5,5.97
761.06,4.3,5.97
761.56,14.4,6.01
762.06,13.2,6.07
762.56,2.0,6.07
763.07,9.3,6.06
763.57,8.3,6.06
764.07,6.5,6.07
764.57,13.6,6.08
765.07,14.0,6.08
765.57,8.5,6.09
766.07,7.8,6.09
766.57,3.3,6.06
767.07,14.3,6.07
767.57,16.9,6.11
768.07,11.5,6.11
768.57,16.1,6.11
769.07,14.0,6.12
769.57,34.7,6.13
770.07,6.5,6.12
770.57,7.3,6.12
771.08,6.3,6.1
771.58,3.8,6.1
772.08,12.1,6.11
772.58,14.0,6.1
773.08,7.3,6.1
773.58,5.7,6.1
774.08,0.2,6.09
774.58,10.3,6.1
775.08,5.8,6.1
775.58,0.0,6.1
776.08,0.7,6.1
776.58,2.5,6.1
777.08,1.0,6.1
777.59,0.7,6.09
778.09,2.0,6.09
778.59,0.2,6.09
779.09,8.2,6.09
779.59,37.2,6.02
780.09,27.9,5.51
780.59,37.1,5.59
781.09,5.3,5.59
781.59,2.0,5.5
782.09,3.3,5.51
782.59,2.7,5.51
783.09,2.7,5.5
783.59,0.5,5.5
784.1,0.7,5.5
784.6,1.7,5.5
785.1,3.8,5.5
785.6,0.7,5.5
786.1,2.3,5.5
786.6,2.0,5.5
787.1,0.2,5.5
787.6,1.7,5.5
788.1,10.3,5.46
788.6,1.8,5.46
